"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr2:75040048-75040448" 30 37 51 42 61 39 53 53 18 9 6 38 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:75043608-75044008" 1108 875 933 1379 1261 1270 579 762 308 328 347 388 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:75219188-75219588" 1794 1726 1958 2119 2444 2070 1918 2016 864 810 974 1362 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:76772026-76772426" 177 43 80 132 203 181 100 80 48 56 73 83 "d0_noncoding" "Neg" "Neg_1"
"chr2:76806461-76806861" 282 174 190 253 298 257 91 92 55 56 31 71 "d0_noncoding" "Neg" "Neg_1"
"chr2:76807049-76807449" 1006 627 993 1108 1279 1151 2512 3006 1602 1467 1546 2597 "d0_noncoding" "Neg" "Neg_1"
"chr2:77023164-77023564" 3161 2309 3250 3785 4953 3986 10406 10765 6312 5978 4419 12334 "d0_noncoding" "Neg" "Neg_1"
"chr2:77614392-77614792" 740 437 607 769 896 692 392 273 150 189 179 186 "d0_noncoding" "Neg" "Neg_1"
"chr2:77940536-77940936" 481 311 404 456 675 484 484 507 242 304 294 373 "d0_noncoding" "Neg" "Neg_1"
"chr2:80059621-80060021" 687 528 542 615 818 708 2593 2917 1340 1216 1624 1792 "d0_noncoding" "Neg" "Neg_1"
"chr2:80198888-80199288" 292 184 238 301 360 305 89 89 63 55 29 67 "d0_noncoding" "Neg" "Neg_1"
"chr2:81875475-81875875" 723 304 442 554 786 623 305 222 130 130 108 267 "d0_noncoding" "Neg" "Neg_1"
"chr2:84620579-84620979" 2859 2429 2601 3053 3259 2679 6255 6513 3353 3052 3532 5774 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:84662783-84663183" 857 680 729 816 976 760 242 300 147 130 142 238 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:85545605-85546005" 3155 2308 2891 3395 3759 3190 3615 4045 1756 1880 1979 3088 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:86620582-86620982" 1777 1671 1760 2136 2259 2068 1590 1840 848 886 937 1030 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:8749586-8749986" 1042 654 800 933 1187 1117 4021 3897 2898 2365 2730 3834 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:8765478-8765878" 1416 1146 1307 1661 1638 1413 633 574 359 271 173 436 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:88715549-88715949" 163 60 101 126 188 174 533 418 255 274 269 499 "d0_noncoding" "Neg" "Neg_1"
"chr2:8936414-8936814" 2658 1473 1827 2337 2947 2589 1730 1603 1022 845 1009 1882 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:8961403-8961803" 581 307 512 670 797 622 540 605 228 182 232 436 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:8992306-8992706" 446 299 372 502 601 497 217 194 132 94 79 139 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:96853111-96853511" 1287 929 1084 1461 1431 1143 1099 1213 520 502 518 817 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:96917433-96917833" 527 212 384 454 622 558 1488 1407 840 705 932 1418 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:97007879-97008279" 225 269 226 287 276 258 342 475 256 224 266 435 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:97213067-97213467" 83 93 101 145 157 120 2 5 11 1 3 1 "d0_noncoding" "Neg" "Neg_1"
"chr2:97215776-97216176" 9 11 17 21 0 89 0 1 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr2:98485753-98486153" 2099 2062 2284 2916 2768 2236 1156 1372 690 585 544 903 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:98496764-98497164" 686 632 695 792 878 665 247 338 171 134 179 251 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:9936537-9936937" 4826 3551 4256 5297 5891 4965 1349 1507 892 767 553 1577 "d0_noncoding" "Neg" "Neg_1"
"chr3:104663321-104663721" 3603 2394 3028 3983 4723 3543 8345 8117 4192 4212 3389 7832 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:104870356-104870756" 93 15 48 74 84 77 108 128 68 40 84 110 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:105133674-105134074" 389 164 310 407 426 432 450 540 232 239 289 315 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:105167363-105167763" 925 715 839 1091 1212 994 515 542 284 327 149 497 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:105192393-105192793" 403 228 312 488 539 461 247 326 139 91 131 150 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:107317905-107318305" 157 144 112 209 187 150 269 284 181 135 120 337 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:111454210-111454610" 733 576 700 925 927 684 3451 3489 1808 1793 2255 2547 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:111591098-111591498" 2799 2661 2901 3265 3164 2991 2274 2458 1156 1215 1308 1477 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:112118469-112118869" 893 648 702 956 983 795 340 319 198 146 173 312 "d0_noncoding" "Neg" "Neg_1"
"chr3:112119214-112119614" 542 277 408 550 697 541 399 346 215 180 100 288 "d0_noncoding" "Neg" "Neg_1"
"chr3:112406948-112407348" 194 66 98 144 191 180 276 172 205 150 223 290 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:114098920-114099320" 2499 1483 2218 2491 3169 2709 1222 1398 727 575 669 1082 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:114119535-114119935" 4036 3242 3524 4821 4828 4027 8244 8256 4292 4379 3210 7626 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:114173495-114173895" 5751 2145 3609 4513 6637 5441 3970 3965 2029 1867 1330 3567 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:115118616-115119016" 1104 662 834 1143 1212 1058 2544 2131 951 1049 841 1474 "d0_noncoding" "Neg" "Neg_1"
"chr3:115137418-115137818" 565 562 645 780 768 665 212 213 102 146 168 149 "d0_noncoding" "Neg" "Neg_1"
"chr3:11519117-11519517" 1303 780 969 1321 1404 1262 1941 2250 1192 1105 699 1349 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:115418114-115418514" 483 307 404 475 523 467 382 482 218 134 86 332 "d0_noncoding" "Neg" "Neg_1"
"chr3:119051472-119051872" 977 1035 887 996 1151 900 556 678 295 282 322 555 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:119078871-119079271" 4295 3596 3683 4791 5224 4513 3250 3592 1728 1764 1817 2217 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:119747123-119747523" 163 46 97 122 163 194 185 118 101 69 89 71 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:119863160-119863560" 7235 8447 9160 9580 9575 8186 3516 4239 2275 2180 1843 3405 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:120157832-120158232" 1423 845 1170 1617 1814 1553 1238 1299 646 597 476 926 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:120282419-120282819" 2646 2836 2747 3570 3083 3131 2912 3768 1725 1725 1741 2547 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:122162647-122163047" 1296 507 934 1203 1557 1412 1360 1223 688 661 608 1204 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:122208894-122209294" 300 220 241 361 460 359 1024 994 646 503 601 907 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:123093899-123094299" 2301 1531 1957 2386 2846 2322 1527 1660 872 811 491 1347 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:124120713-124121113" 2933 2789 3110 3439 3708 3147 1090 1365 684 659 622 916 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:124128738-124129138" 69 28 42 57 89 100 178 161 90 66 59 185 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:124519258-124519658" 2796 2433 2829 3381 3562 2923 6425 7238 4628 4336 3801 7737 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:124553845-124554245" 1046 1113 1109 1385 1459 1222 325 274 161 203 126 398 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:124556557-124556957" 4234 3446 4051 4458 5272 4919 4395 4686 2452 2316 2089 4373 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:124705039-124705439" 1211 900 1115 1416 1699 1428 326 578 238 175 209 439 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:124761929-124762329" 805 247 405 592 894 693 485 264 285 282 189 919 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:125159452-125159852" 1323 897 1300 1488 1621 1386 2879 2820 1645 1627 1401 3598 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:126006622-126007022" 2415 1691 2096 2408 2950 2635 541 736 345 303 187 662 "d0_noncoding" "Neg" "Neg_1"
"chr3:126206170-126206570" 4213 2166 3370 3854 4804 4155 3949 3974 2394 2352 1610 5898 "d0_noncoding" "Neg" "Neg_1"
"chr3:126653103-126653503" 23 3 17 11 30 24 0 0 1 10 0 12 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:12684466-12684866" 1274 964 1080 1446 1427 1338 1156 1147 598 561 765 797 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:126891867-126892267" 2876 2024 2623 3125 3622 3342 3903 4171 1726 1750 1264 3261 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:12720978-12721378" 4536 3155 3782 4628 5548 4396 3225 3490 1745 1595 1608 2732 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:130267171-130267571" 337 126 219 239 376 361 738 379 347 354 319 749 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:132562669-132563069" 812 599 699 968 948 889 364 450 191 202 256 310 "d0_noncoding" "Neg" "Neg_1"
"chr3:132977203-132977603" 2150 2699 2531 2953 2474 2238 1566 1761 915 847 673 1072 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:133207761-133208161" 475 277 426 484 591 561 1451 1430 905 770 903 1476 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:133962053-133962453" 405 152 279 355 494 375 243 187 103 75 116 132 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:134001461-134001861" 2323 1669 2127 2750 2965 2411 665 675 483 471 334 720 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:134018390-134018790" 387 388 440 476 635 498 609 609 291 247 266 401 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:134076684-134077084" 1496 916 1180 1488 1750 1601 862 881 483 376 369 603 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:134468631-134469031" 4868 3850 4438 5310 5942 5357 11150 11067 6938 6913 4815 12380 "d0_noncoding" "Neg" "Neg_1"
"chr3:134950477-134950877" 306 177 245 318 409 335 47 77 38 25 19 59 "d0_noncoding" "Neg" "Neg_1"
"chr3:135342361-135342761" 559 605 547 773 722 596 159 192 89 85 96 110 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:135713455-135713855" 477 213 283 359 458 403 195 199 104 95 146 180 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:135729580-135729980" 207 70 127 163 202 178 53 84 46 32 55 57 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:135789804-135790204" 1954 1648 1816 1996 2138 1961 8266 9819 5046 4671 4794 6624 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:136069451-136069851" 3228 2318 3018 3888 4086 3689 2081 2278 1224 1076 1107 1761 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:136109421-136109821" 6 6 11 3 25 15 55 51 30 17 29 24 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:136295461-136295861" 488 222 322 457 502 521 600 613 314 252 365 362 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:136335936-136336336" 2664 2152 2555 3320 3676 2792 5934 5352 3400 3063 3496 4325 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:136344015-136344415" 172 118 117 155 170 148 149 98 53 87 59 53 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:136497708-136498108" 3753 3796 3695 4751 4777 4272 5121 5678 2657 2286 2413 3164 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:138563916-138564316" 95 31 60 66 114 92 32 40 31 9 13 67 "d0_noncoding" "Neg" "Neg_1"
"chr3:141348816-141349216" 328 221 251 261 323 311 493 462 208 188 132 521 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:141429614-141430014" 2721 1978 2288 2778 3019 2912 650 903 489 378 325 432 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:141549370-141549770" 1353 1632 1508 1826 1733 1477 5139 6433 2901 3025 3097 3787 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:142287215-142287615" 2101 1609 1956 2265 2571 2114 1209 1073 651 531 470 1143 "d0_noncoding" "Neg" "Neg_1"
"chr3:14266522-14266922" 1194 1064 1198 1619 1373 1226 675 759 389 380 325 711 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:142666200-142666600" 5227 4469 5236 5812 5145 5937 595 409 161 294 625 329 "d0_noncoding" "Neg" "Neg_1"
"chr3:142755387-142755787" 437 334 421 470 458 384 238 227 143 126 143 126 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:14287894-14288294" 783 481 623 697 877 622 157 139 112 79 47 134 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:14331032-14331432" 1846 1539 1615 2179 2110 2013 1223 1546 770 681 948 1094 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:14399881-14400281" 2095 1037 1399 1939 2437 2113 2140 1874 1174 1002 535 2251 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:144060333-144060733" 384 190 376 388 487 359 82 69 32 10 25 34 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:144077138-144077538" 1016 413 662 915 1214 1094 1059 1001 635 481 654 758 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:144156764-144157164" 9105 9309 9934 11701 11739 10233 14155 13420 6717 6458 3903 12000 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:144272246-144272646" 763 494 648 747 883 853 463 654 294 233 315 320 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:144626242-144626642" 175 73 112 158 181 156 35 31 18 16 16 12 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:14514367-14514767" 12117 8474 11639 13650 17160 13283 8597 9575 5598 5249 4101 10708 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:14521756-14522156" 2578 2633 2725 3144 3203 2815 2373 2592 1373 1516 1318 2905 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:145357006-145357406" 380 90 163 265 388 319 452 342 252 201 317 366 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:145410537-145410937" 29 6 19 19 25 36 27 13 13 14 13 16 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:145849731-145850131" 2357 1629 2238 2782 3114 2933 2990 3645 1607 1532 1755 2544 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:145872807-145873207" 2 0 0 0 5 1 0 0 0 0 0 2 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:148914540-148914940" 1391 1036 1223 1435 1618 1419 3855 3247 1875 1784 1726 3331 "d0_noncoding" "Neg" "Neg_1"
"chr3:149125762-149126162" 630 334 428 543 782 658 745 711 417 397 453 512 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:149336595-149336995" 2083 2170 2041 2506 2492 2251 1434 1639 1186 923 972 1575 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:149934035-149934435" 1054 976 1106 1427 1380 1147 220 315 179 142 68 238 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:149950907-149951307" 1300 1016 1215 1446 1549 1206 850 1051 522 468 497 888 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:149953679-149954079" 34 12 23 36 60 50 13 7 7 9 9 16 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:150037692-150038092" 184 76 153 176 234 154 704 672 285 301 383 449 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:150062776-150063176" 1984 1635 1982 2268 2392 2118 1787 1937 850 848 645 1298 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:150187447-150187847" 2263 1330 1997 2432 3015 2464 1348 1561 950 742 648 1101 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:150305795-150306195" 980 550 807 1022 1172 1005 538 622 356 329 236 562 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:152148362-152148762" 450 428 525 621 668 491 309 413 278 212 223 486 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:152339205-152339605" 1728 889 1250 1643 1800 1574 1648 1708 880 755 886 1230 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:152374863-152375263" 502 238 367 462 581 455 382 353 141 113 193 209 "d0_noncoding" "Neg" "Neg_1"
"chr3:152463435-152463835" 247 143 163 247 276 240 94 82 52 47 55 62 "d0_noncoding" "Neg" "Neg_1"
"chr3:153573543-153573943" 3472 2615 3156 3955 4291 3632 1376 1620 781 733 658 1081 "d0_noncoding" "Neg" "Neg_1"
"chr3:153780299-153780699" 1167 1108 1257 1299 1618 1293 2601 2860 1544 1537 1467 2807 "d0_noncoding" "Neg" "Neg_1"
"chr3:154084992-154085392" 261 170 195 261 308 237 1174 1006 583 465 532 811 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:154843033-154843433" 505 160 305 332 477 424 14 9 15 7 6 29 "d0_noncoding" "Neg" "Neg_1"
"chr3:156966359-156966759" 71 68 62 83 70 73 77 73 52 47 61 75 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:158630022-158630422" 590 261 441 492 713 609 911 1143 501 559 608 959 "d0_noncoding" "Neg" "Neg_1"
"chr3:159387491-159387891" 535 350 457 615 664 577 111 84 61 36 59 58 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:159429444-159429844" 4871 3476 4192 5334 5564 4945 3304 3594 1888 1637 1795 2880 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:159516802-159517202" 4037 2760 3490 4338 4696 4234 3700 4020 1997 1741 1800 2326 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:160814544-160814944" 1193 567 809 1086 1401 1380 492 542 244 194 234 440 "d0_noncoding" "Neg" "Neg_1"
"chr3:164910366-164910766" 882 356 653 778 1229 974 1263 999 680 613 236 1722 "d0_noncoding" "Neg" "Neg_1"
"chr3:16705362-16705762" 2650 1717 2226 2825 3330 2802 4020 3764 1802 1581 1026 2660 "d0_noncoding" "Neg" "Neg_1"
"chr3:16713240-16713640" 65 14 43 52 92 50 19 10 9 10 7 20 "d0_noncoding" "Neg" "Neg_1"
"chr3:16728695-16729095" 52 8 42 41 61 46 43 21 16 9 11 27 "d0_noncoding" "Neg" "Neg_1"
"chr3:167766746-167767146" 1398 924 1186 1527 1671 1470 792 927 450 351 361 677 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:170486173-170486573" 6070 5164 6136 7209 7583 6121 8045 9802 5250 4602 5094 7473 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:170553072-170553472" 450 343 442 550 613 499 190 200 93 94 106 172 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:171698542-171698942" 372 209 319 410 398 363 187 248 90 88 144 226 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:171774867-171775267" 112 85 128 135 177 146 18 14 13 18 11 12 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:171871043-171871443" 1151 771 1019 1255 1330 1249 475 615 256 198 219 451 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:171899883-171900283" 261 129 178 233 315 230 71 68 56 55 40 116 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:172574883-172575283" 806 262 481 605 850 685 646 549 323 271 317 592 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:172594801-172595201" 153 88 129 156 190 147 326 253 175 132 143 199 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:173583667-173584067" 257 127 190 263 363 266 855 985 452 402 426 570 "d0_noncoding" "Neg" "Neg_1"
"chr3:179399165-179399565" 425 125 254 326 415 368 219 161 114 124 32 281 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:181417319-181417719" 118 94 162 137 172 136 453 398 173 220 132 264 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr3:181448226-181448626" 205 121 195 218 302 247 119 118 49 69 63 76 "d0_noncoding" "Neg" "Neg_1"
"chr3:181577270-181577670" 302 121 215 274 433 309 163 193 123 136 110 250 "d0_noncoding" "Neg" "Neg_1"
"chr3:181658476-181658876" 1569 859 1274 1490 1757 1663 579 531 308 313 319 412 "d0_noncoding" "Neg" "Neg_1"
"chr3:183483192-183483592" 135 123 189 154 118 135 67 98 37 44 40 46 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:185529810-185530210" 654 631 667 834 782 719 487 488 240 218 254 303 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:185618049-185618449" 1286 854 1093 1310 1450 1258 623 671 321 282 336 596 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:186898826-186899226" 396 400 367 439 374 384 115 104 56 46 31 73 "d0_noncoding" "Neg" "Neg_1"
"chr3:187721057-187721457" 891 762 796 1139 903 920 448 587 283 276 225 378 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:187754363-187754763" 699 427 607 775 862 722 467 588 225 233 231 392 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:187915197-187915597" 2793 2987 2990 3653 3577 3142 4260 4675 2403 2271 2007 4230 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:187916712-187917112" 5096 6474 5594 6517 6133 5537 9846 12137 5960 5817 6773 8943 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:187958818-187959218" 3235 3429 3217 3809 3522 3257 3321 3622 1888 1888 2080 2688 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:188008374-188008774" 1529 907 1201 1444 1705 1323 1590 1633 768 841 805 1143 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:188012636-188013036" 3023 1993 2411 2947 3693 3099 2017 2016 1178 911 1062 1260 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:188264822-188265222" 231 92 185 252 265 206 958 815 414 329 455 454 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:195239730-195240130" 814 402 594 839 1065 839 437 423 337 242 423 364 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:195835120-195835520" 61355 59582 64779 71798 79591 66090 51663 51613 28507 34850 35280 75165 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:196006204-196006604" 2315 1888 2272 2768 2702 2422 2751 3390 1584 1528 1419 2748 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:196520057-196520457" 176 48 77 120 202 183 199 137 96 98 87 136 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:197066617-197067017" 3188 2604 2916 3709 3918 3438 7131 7860 3635 3768 2284 7466 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:197099097-197099497" 1047 624 900 1016 1254 1029 383 393 167 146 129 346 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:197239037-197239437" 3501 3284 3840 3955 4201 3632 3018 3179 1675 1968 1065 3415 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr3:197267826-197268226" 4160 3152 3929 4926 5738 4471 9411 9763 4800 4801 4602 8310 "d0_noncoding" "Neg" "Neg_1"
"chr3:25633946-25634346" 1669 1166 1453 1823 2022 1841 1944 2004 1274 1040 713 1696 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:29186298-29186698" 365 139 293 319 422 382 476 544 322 261 345 370 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr3:29274597-29274997" 346 105 190 264 432 345 312 318 178 131 180 285 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
